name,shape,dtype
amos_7014_0000,"(100, 192, 192)",uint8
amos_7017_0000,"(72, 290, 320)",uint16
amos_7018_0000,"(72, 290, 320)",uint16
amos_7029_0000,"(24, 192, 192)",uint8
amos_7030_0000,"(24, 176, 176)",uint8
amos_7031_0000,"(24, 176, 176)",uint8
amos_7032_0000,"(24, 192, 192)",uint8
amos_7033_0000,"(24, 288, 288)",uint8
amos_7034_0000,"(100, 192, 192)",uint8
amos_7035_0000,"(28, 250, 320)",uint16
amos_7036_0000,"(24, 320, 270)",uint16
amos_7038_0000,"(24, 352, 352)",uint8
amos_7039_0000,"(24, 576, 576)",uint8
amos_7040_0000,"(24, 576, 576)",uint8
amos_7041_0000,"(18, 576, 576)",uint8
amos_7042_0000,"(24, 176, 176)",uint8
amos_7043_0000,"(24, 176, 176)",uint8
amos_7044_0000,"(26, 320, 320)",uint16
amos_7045_0000,"(28, 320, 320)",uint16
amos_7048_0000,"(25, 192, 192)",uint8
amos_7049_0000,"(24, 224, 224)",uint8
amos_7051_0000,"(24, 256, 256)",uint8
amos_7052_0000,"(24, 320, 320)",uint8
amos_7053_0000,"(24, 256, 256)",uint8
amos_7054_0000,"(24, 320, 320)",uint8
amos_7055_0000,"(100, 176, 176)",uint8
amos_7057_0000,"(24, 256, 256)",uint8
amos_7058_0000,"(24, 288, 288)",uint8
amos_7059_0000,"(24, 336, 336)",uint8
amos_7060_0000,"(24, 256, 256)",uint8
amos_7062_0000,"(24, 256, 256)",uint8
amos_7063_0000,"(24, 320, 320)",uint8
amos_7064_0000,"(18, 224, 224)",uint8
amos_7065_0000,"(80, 192, 192)",uint8
amos_7067_0000,"(80, 192, 192)",uint8
amos_7068_0000,"(24, 256, 256)",uint8
amos_7070_0000,"(24, 224, 224)",uint8
amos_7071_0000,"(24, 320, 320)",uint8
amos_7072_0000,"(24, 256, 256)",uint8
amos_7075_0000,"(30, 294, 448)",uint16
amos_7077_0000,"(24, 256, 256)",uint8
amos_7078_0000,"(24, 256, 256)",uint8
amos_7079_0000,"(25, 224, 224)",uint8
amos_7080_0000,"(24, 320, 320)",uint8
amos_7082_0000,"(24, 176, 176)",uint8
amos_7083_0000,"(24, 336, 336)",uint8
amos_7085_0000,"(24, 384, 384)",uint8
amos_7086_0000,"(24, 256, 256)",uint8
amos_7087_0000,"(27, 384, 384)",uint8
amos_7088_0000,"(27, 256, 256)",uint8
amos_7092_0000,"(24, 240, 240)",uint8
amos_7093_0000,"(24, 352, 352)",uint8
amos_7096_0000,"(24, 192, 192)",uint8
amos_7098_0000,"(24, 256, 256)",uint8
amos_7099_0000,"(24, 192, 192)",uint8
amos_7101_0000,"(24, 336, 336)",uint8
amos_7102_0000,"(24, 240, 240)",uint8
amos_7104_0000,"(24, 352, 352)",uint8
amos_7105_0000,"(100, 176, 176)",uint8
amos_7106_0000,"(100, 176, 176)",uint8
amos_7112_0000,"(28, 320, 320)",uint16
amos_7114_0000,"(25, 224, 224)",uint8
amos_7115_0000,"(24, 256, 256)",uint8
amos_7117_0000,"(25, 224, 224)",uint8
amos_7118_0000,"(24, 256, 256)",uint8
amos_7119_0000,"(24, 320, 320)",uint8
amos_7121_0000,"(26, 256, 256)",uint8
amos_7122_0000,"(26, 256, 256)",uint8
amos_7123_0000,"(26, 384, 384)",uint8
amos_7125_0000,"(25, 224, 224)",uint8
amos_7126_0000,"(24, 384, 384)",uint8
amos_7128_0000,"(24, 256, 256)",uint8
amos_7129_0000,"(24, 256, 256)",uint8
amos_7130_0000,"(26, 384, 384)",uint8
amos_7134_0000,"(25, 224, 224)",uint8
amos_7135_0000,"(24, 256, 256)",uint8
amos_7136_0000,"(24, 256, 256)",uint8
amos_7137_0000,"(24, 256, 256)",uint8
amos_7138_0000,"(24, 384, 384)",uint8
amos_7139_0000,"(24, 250, 320)",uint16
amos_7140_0000,"(24, 250, 320)",uint16
amos_7141_0000,"(25, 224, 224)",uint8
amos_7142_0000,"(24, 256, 256)",uint8
amos_7143_0000,"(24, 288, 288)",uint8
amos_7144_0000,"(25, 240, 240)",uint8
amos_7146_0000,"(24, 256, 256)",uint8
amos_7148_0000,"(25, 224, 224)",uint8
amos_7150_0000,"(24, 224, 224)",uint8
amos_7151_0000,"(72, 290, 320)",uint16
amos_7152_0000,"(23, 320, 320)",uint16
amos_7153_0000,"(18, 320, 320)",uint16
amos_7154_0000,"(24, 320, 320)",uint16
amos_7155_0000,"(25, 176, 176)",uint8
amos_7156_0000,"(24, 240, 240)",uint8
amos_7158_0000,"(24, 256, 256)",uint8
amos_7159_0000,"(100, 192, 192)",uint8
amos_7160_0000,"(24, 576, 576)",uint8
amos_7161_0000,"(24, 320, 320)",uint16
amos_7162_0000,"(24, 250, 320)",uint16
amos_7163_0000,"(24, 250, 320)",uint16
amos_7165_0000,"(64, 290, 320)",uint16
amos_7166_0000,"(24, 320, 320)",uint16
amos_7168_0000,"(24, 576, 576)",uint8
amos_7169_0000,"(18, 576, 576)",uint8
amos_7170_0000,"(24, 256, 256)",uint8
amos_7172_0000,"(24, 256, 256)",uint8
amos_7173_0000,"(35, 250, 320)",uint16
amos_7174_0000,"(27, 256, 256)",uint16
amos_7175_0000,"(72, 290, 320)",uint16
amos_7176_0000,"(72, 290, 320)",uint16
amos_7177_0000,"(72, 290, 320)",uint16
amos_7178_0000,"(72, 290, 320)",uint16
amos_7179_0000,"(72, 290, 320)",uint16
amos_7180_0000,"(72, 290, 320)",uint16
amos_7181_0000,"(72, 290, 320)",uint16
amos_7182_0000,"(72, 290, 320)",uint16
amos_7199_0000,"(24, 640, 640)",uint16
amos_7201_0000,"(24, 576, 576)",uint8
amos_7202_0000,"(24, 256, 256)",uint8
amos_7203_0000,"(24, 256, 256)",uint8
amos_7204_0000,"(24, 288, 288)",uint8
amos_7205_0000,"(28, 320, 320)",uint16
amos_7206_0000,"(28, 320, 320)",uint16
amos_7207_0000,"(72, 290, 320)",uint16
amos_7208_0000,"(72, 290, 320)",uint16
amos_7209_0000,"(72, 290, 320)",uint16
amos_7210_0000,"(24, 256, 256)",uint8
amos_7211_0000,"(24, 224, 224)",uint8
amos_7214_0000,"(24, 256, 256)",uint8
amos_7216_0000,"(25, 224, 224)",uint8
amos_7217_0000,"(24, 256, 256)",uint8
amos_7218_0000,"(24, 288, 288)",uint8
amos_7219_0000,"(24, 352, 352)",uint8
amos_7220_0000,"(24, 320, 320)",uint8
amos_7222_0000,"(32, 1024, 1024)",uint8
amos_7223_0000,"(32, 1024, 1024)",uint8
amos_7224_0000,"(32, 1024, 1024)",uint8
amos_7225_0000,"(32, 1024, 1024)",uint8
amos_7227_0000,"(32, 512, 512)",uint8
amos_7228_0000,"(72, 240, 320)",uint16
amos_7229_0000,"(72, 240, 320)",uint16
amos_7230_0000,"(72, 240, 320)",uint16
amos_7231_0000,"(72, 240, 320)",uint16
amos_7232_0000,"(32, 512, 512)",uint8
amos_7233_0000,"(32, 480, 480)",uint8
amos_7239_0000,"(32, 512, 512)",uint8
amos_7241_0000,"(72, 260, 320)",uint16
amos_7242_0000,"(72, 260, 320)",uint16
amos_7243_0000,"(72, 260, 320)",uint16
amos_7245_0000,"(72, 260, 320)",uint16
amos_7246_0000,"(32, 1024, 1024)",uint8
amos_7247_0000,"(32, 432, 432)",uint8
amos_7248_0000,"(32, 512, 512)",uint8
amos_7251_0000,"(32, 1024, 1024)",uint8
amos_7252_0000,"(32, 1024, 1024)",uint8
amos_7253_0000,"(32, 1024, 1024)",uint8
amos_7254_0000,"(32, 1024, 1024)",uint8
amos_7257_0000,"(32, 1024, 1024)",uint8
amos_7259_0000,"(32, 512, 512)",uint8
amos_7262_0000,"(72, 260, 320)",uint16
amos_7263_0000,"(32, 1024, 1024)",uint8
amos_7265_0000,"(32, 1024, 1024)",uint8
amos_7266_0000,"(32, 1024, 1024)",uint8
amos_7267_0000,"(25, 384, 384)",uint16
amos_7268_0000,"(25, 320, 320)",uint16
amos_7269_0000,"(20, 320, 320)",uint16
amos_7270_0000,"(104, 320, 320)",uint16
amos_7271_0000,"(32, 1024, 1024)",uint8
amos_7272_0000,"(32, 1024, 1024)",uint8
amos_7273_0000,"(32, 1024, 1024)",uint8
amos_7274_0000,"(32, 1024, 1024)",uint8
amos_7275_0000,"(32, 1024, 1024)",uint8
amos_7277_0000,"(32, 432, 432)",uint8
amos_7278_0000,"(32, 1024, 1024)",uint8
amos_7279_0000,"(30, 432, 432)",uint8
amos_7280_0000,"(30, 1024, 1024)",uint8
amos_7281_0000,"(30, 512, 512)",uint8
amos_7283_0000,"(32, 1024, 1024)",uint8
amos_7284_0000,"(32, 1024, 1024)",uint8
amos_7285_0000,"(32, 1024, 1024)",uint8
amos_7288_0000,"(24, 512, 512)",uint8
amos_7290_0000,"(32, 1024, 1024)",uint8
amos_7292_0000,"(32, 1024, 1024)",uint8
amos_7295_0000,"(32, 1024, 1024)",uint8
amos_7298_0000,"(72, 260, 320)",uint16
amos_7299_0000,"(72, 260, 320)",uint16
amos_7300_0000,"(72, 260, 320)",uint16
amos_7301_0000,"(28, 320, 320)",uint16
amos_7303_0000,"(72, 290, 320)",uint16
amos_7304_0000,"(30, 448, 448)",uint8
amos_7305_0000,"(24, 1024, 1024)",uint8
amos_7306_0000,"(24, 512, 512)",uint8
amos_7307_0000,"(24, 512, 512)",uint8
amos_7309_0000,"(20, 384, 384)",uint16
amos_7310_0000,"(20, 320, 240)",uint16
amos_7311_0000,"(18, 240, 320)",uint16
amos_7312_0000,"(18, 288, 384)",uint16
amos_7313_0000,"(24, 240, 320)",uint16
amos_7316_0000,"(24, 512, 512)",uint8
amos_7317_0000,"(24, 256, 256)",uint8
amos_7320_0000,"(24, 320, 320)",uint16
amos_7321_0000,"(28, 320, 320)",uint16
amos_7322_0000,"(30, 320, 320)",uint16
amos_7325_0000,"(32, 1024, 1024)",uint8
amos_7327_0000,"(32, 432, 432)",uint8
amos_7328_0000,"(38, 240, 240)",uint8
amos_7329_0000,"(24, 256, 256)",uint8
amos_7330_0000,"(30, 256, 256)",uint8
amos_7331_0000,"(80, 256, 256)",uint8
amos_7333_0000,"(24, 512, 512)",uint8
amos_7334_0000,"(24, 560, 560)",uint8
amos_7335_0000,"(24, 480, 480)",uint8
amos_7336_0000,"(30, 400, 400)",uint8
amos_7338_0000,"(24, 432, 432)",uint8
amos_7340_0000,"(32, 1024, 1024)",uint8
amos_7343_0000,"(36, 1024, 1024)",uint8
amos_7345_0000,"(24, 1024, 1024)",uint8
amos_7347_0000,"(35, 1024, 1024)",uint8
amos_7348_0000,"(36, 1024, 1024)",uint8
amos_7349_0000,"(24, 480, 480)",uint8
amos_7350_0000,"(24, 400, 400)",uint8
amos_7351_0000,"(24, 384, 384)",uint8
amos_7352_0000,"(24, 512, 512)",uint8
amos_7353_0000,"(30, 432, 432)",uint8
amos_7355_0000,"(30, 448, 448)",uint8
amos_7356_0000,"(22, 448, 448)",uint8
amos_7358_0000,"(35, 480, 480)",uint8
amos_7359_0000,"(30, 672, 672)",uint8
amos_7361_0000,"(32, 1024, 1024)",uint8
amos_7363_0000,"(32, 1024, 1024)",uint8
amos_7365_0000,"(36, 1024, 1024)",uint8
amos_7366_0000,"(32, 1024, 1024)",uint8
amos_7368_0000,"(32, 1024, 1024)",uint8
amos_7369_0000,"(32, 1024, 1024)",uint8
amos_7370_0000,"(20, 512, 512)",uint8
amos_7371_0000,"(24, 432, 432)",uint8
amos_7372_0000,"(14, 480, 480)",uint8
amos_7373_0000,"(32, 1024, 1024)",uint8
amos_7375_0000,"(32, 1024, 1024)",uint8
amos_7376_0000,"(32, 1024, 1024)",uint8
amos_7377_0000,"(32, 1024, 1024)",uint8
amos_7378_0000,"(72, 260, 320)",uint16
amos_7382_0000,"(72, 260, 320)",uint16
amos_7383_0000,"(72, 260, 320)",uint16
amos_7385_0000,"(32, 1024, 1024)",uint8
amos_7386_0000,"(32, 1024, 1024)",uint8
amos_7388_0000,"(32, 1024, 1024)",uint8
amos_7389_0000,"(32, 1024, 1024)",uint8
amos_7390_0000,"(32, 1024, 1024)",uint8
amos_7391_0000,"(32, 1024, 1024)",uint8
amos_7392_0000,"(37, 432, 432)",uint8
amos_7393_0000,"(37, 432, 432)",uint8
amos_7394_0000,"(32, 528, 528)",uint8
amos_7395_0000,"(34, 512, 512)",uint8
amos_7399_0000,"(115, 400, 400)",uint8
amos_7401_0000,"(32, 1024, 1024)",uint8
amos_7402_0000,"(32, 1024, 1024)",uint8
amos_7404_0000,"(32, 1024, 1024)",uint8
amos_7405_0000,"(32, 1024, 1024)",uint8
amos_7406_0000,"(32, 512, 512)",uint8
amos_7408_0000,"(32, 512, 512)",uint8
amos_7409_0000,"(32, 384, 384)",uint8
amos_7410_0000,"(40, 1024, 1024)",uint8
amos_7411_0000,"(40, 1024, 1024)",uint8
amos_7412_0000,"(32, 512, 512)",uint8
amos_7413_0000,"(32, 432, 432)",uint8
amos_7414_0000,"(40, 1024, 1024)",uint8
amos_7415_0000,"(40, 1024, 1024)",uint8
amos_7418_0000,"(40, 1024, 1024)",uint8
amos_7419_0000,"(32, 512, 512)",uint8
amos_7421_0000,"(32, 1024, 1024)",uint8
amos_7422_0000,"(32, 1024, 1024)",uint8
amos_7423_0000,"(32, 1024, 1024)",uint8
amos_7424_0000,"(32, 1024, 1024)",uint8
amos_7425_0000,"(32, 1024, 1024)",uint8
amos_7427_0000,"(32, 512, 512)",uint8
amos_7428_0000,"(32, 432, 432)",uint8
amos_7429_0000,"(32, 512, 512)",uint8
amos_7432_0000,"(40, 1024, 1024)",uint8
amos_7433_0000,"(32, 640, 640)",uint8
amos_7434_0000,"(40, 1024, 1024)",uint8
amos_7436_0000,"(40, 1024, 1024)",uint8
amos_7437_0000,"(40, 1024, 1024)",uint8
amos_7439_0000,"(40, 320, 320)",uint8
amos_7440_0000,"(40, 1024, 1024)",uint8
amos_7441_0000,"(40, 1024, 1024)",uint8
amos_7443_0000,"(40, 432, 432)",uint8
amos_7445_0000,"(40, 512, 512)",uint8
amos_7446_0000,"(40, 432, 432)",uint8
amos_7448_0000,"(40, 512, 512)",uint8
amos_7449_0000,"(40, 1024, 1024)",uint8
amos_7450_0000,"(32, 1024, 1024)",uint8
amos_7451_0000,"(32, 352, 352)",uint8
amos_7452_0000,"(32, 512, 512)",uint8
amos_7453_0000,"(32, 432, 432)",uint8
amos_7454_0000,"(32, 512, 512)",uint8
amos_7456_0000,"(32, 432, 432)",uint8
amos_7457_0000,"(32, 512, 512)",uint8
amos_7459_0000,"(64, 260, 320)",uint16
amos_7460_0000,"(64, 260, 320)",uint16
amos_7461_0000,"(64, 260, 320)",uint16
amos_7463_0000,"(32, 1024, 1024)",uint8
amos_7464_0000,"(32, 512, 512)",uint8
amos_7467_0000,"(32, 1024, 1024)",uint8
amos_7468_0000,"(32, 1024, 1024)",uint8
amos_7469_0000,"(32, 1024, 1024)",uint8
amos_7470_0000,"(32, 1024, 1024)",uint8
amos_7472_0000,"(32, 1024, 1024)",uint8
amos_7474_0000,"(32, 1024, 1024)",uint8
amos_7475_0000,"(32, 1024, 1024)",uint8
amos_7476_0000,"(32, 1024, 1024)",uint8
amos_7477_0000,"(48, 352, 352)",uint8
amos_7479_0000,"(32, 1024, 1024)",uint8
amos_7480_0000,"(32, 1024, 1024)",uint8
amos_7481_0000,"(32, 1024, 1024)",uint8
amos_7482_0000,"(32, 1024, 1024)",uint8
amos_7484_0000,"(32, 1024, 1024)",uint8
amos_7485_0000,"(32, 1024, 1024)",uint8
amos_7486_0000,"(32, 1024, 1024)",uint8
amos_7487_0000,"(32, 1024, 1024)",uint8
amos_7488_0000,"(74, 432, 432)",uint8
amos_7489_0000,"(37, 432, 432)",uint8
amos_7490_0000,"(37, 432, 432)",uint8
amos_7493_0000,"(32, 1024, 1024)",uint8
amos_7495_0000,"(32, 1024, 1024)",uint8
amos_7497_0000,"(32, 1024, 1024)",uint8
amos_7498_0000,"(32, 400, 400)",uint8
amos_7499_0000,"(36, 384, 384)",uint8
amos_7502_0000,"(48, 352, 352)",uint8
amos_7503_0000,"(32, 1024, 1024)",uint8
amos_7504_0000,"(32, 400, 400)",uint8
amos_7505_0000,"(32, 1024, 1024)",uint8
amos_7506_0000,"(25, 672, 672)",uint8
amos_7507_0000,"(32, 528, 528)",uint8
amos_7508_0000,"(34, 512, 512)",uint8
amos_7509_0000,"(37, 432, 432)",uint8
amos_7510_0000,"(37, 432, 432)",uint8
amos_7513_0000,"(32, 1024, 1024)",uint8
amos_7514_0000,"(32, 1024, 1024)",uint8
amos_7516_0000,"(40, 1024, 1024)",uint8
amos_7517_0000,"(40, 1024, 1024)",uint8
amos_7518_0000,"(80, 560, 560)",uint8
amos_7519_0000,"(30, 1024, 1024)",uint8
amos_7520_0000,"(40, 1024, 1024)",uint8
amos_7521_0000,"(40, 1024, 1024)",uint8
amos_7522_0000,"(40, 1024, 1024)",uint8
amos_7523_0000,"(72, 480, 480)",uint8
amos_7524_0000,"(86, 1024, 1024)",uint8
amos_7525_0000,"(30, 704, 704)",uint8
amos_7532_0000,"(32, 1024, 1024)",uint8
amos_7534_0000,"(32, 1024, 1024)",uint8
amos_7535_0000,"(74, 432, 432)",uint8
amos_7537_0000,"(48, 352, 352)",uint8
amos_7538_0000,"(32, 384, 384)",uint8
amos_7539_0000,"(32, 1024, 1024)",uint8
amos_7540_0000,"(32, 1024, 1024)",uint8
amos_7541_0000,"(32, 1024, 1024)",uint8
amos_7543_0000,"(32, 1024, 1024)",uint8
amos_7544_0000,"(32, 1024, 1024)",uint8
amos_7546_0000,"(32, 1024, 1024)",uint8
amos_7547_0000,"(32, 1024, 1024)",uint8
amos_7549_0000,"(24, 432, 432)",uint8
amos_7550_0000,"(20, 512, 512)",uint8
amos_7551_0000,"(37, 432, 432)",uint8
amos_7552_0000,"(37, 432, 432)",uint8
amos_7557_0000,"(160, 400, 400)",uint8
amos_7559_0000,"(160, 400, 400)",uint8
amos_7561_0000,"(32, 1024, 1024)",uint8
amos_7563_0000,"(32, 1024, 1024)",uint8
amos_7564_0000,"(32, 1024, 1024)",uint8
amos_7566_0000,"(32, 1024, 1024)",uint8
amos_7567_0000,"(32, 1024, 1024)",uint8
amos_7568_0000,"(32, 1024, 1024)",uint8
amos_7569_0000,"(32, 1024, 1024)",uint8
amos_7570_0000,"(32, 1024, 1024)",uint8
amos_7572_0000,"(32, 1024, 1024)",uint8
amos_7575_0000,"(37, 432, 432)",uint8
amos_7576_0000,"(20, 512, 512)",uint8
amos_7577_0000,"(32, 528, 528)",uint8
amos_7578_0000,"(34, 512, 512)",uint8
amos_7579_0000,"(37, 432, 432)",uint8
amos_7580_0000,"(37, 432, 432)",uint8
amos_7583_0000,"(24, 512, 512)",uint8
amos_7584_0000,"(30, 256, 256)",uint8
amos_7585_0000,"(30, 512, 512)",uint8
amos_7586_0000,"(30, 672, 672)",uint8
amos_7588_0000,"(24, 512, 512)",uint8
amos_7589_0000,"(24, 384, 384)",uint8
amos_7590_0000,"(24, 1024, 1024)",uint8
amos_7591_0000,"(30, 640, 640)",uint8
amos_7592_0000,"(30, 576, 576)",uint8
amos_7594_0000,"(48, 560, 560)",uint8
amos_7595_0000,"(30, 480, 480)",uint8
amos_7596_0000,"(30, 576, 576)",uint8
amos_7598_0000,"(40, 1024, 1024)",uint8
amos_7599_0000,"(32, 512, 512)",uint8
amos_7600_0000,"(50, 1024, 1024)",uint8
amos_7602_0000,"(32, 432, 432)",uint8
amos_7603_0000,"(50, 1024, 1024)",uint8
amos_7604_0000,"(50, 1024, 1024)",uint8
amos_7606_0000,"(32, 512, 512)",uint8
amos_7609_0000,"(50, 1024, 1024)",uint8
amos_7610_0000,"(32, 1024, 1024)",uint8
amos_7611_0000,"(32, 1024, 1024)",uint8
amos_7612_0000,"(32, 1024, 1024)",uint8
amos_7613_0000,"(32, 1024, 1024)",uint8
amos_7614_0000,"(32, 1024, 1024)",uint8
amos_7615_0000,"(32, 1024, 1024)",uint8
amos_7617_0000,"(32, 352, 352)",uint8
amos_7618_0000,"(32, 1024, 1024)",uint8
amos_7619_0000,"(25, 512, 512)",uint8
amos_7620_0000,"(50, 320, 320)",uint8
amos_7621_0000,"(32, 432, 432)",uint8
amos_7624_0000,"(115, 400, 400)",uint8
amos_7625_0000,"(115, 400, 400)",uint8
